,part_no,description_mar,on_hand_mar,total_cost_mar,excess_mar,excess_cost_mar,description_jun,on_hand_jun,total_cost_jun,excess_jun,excess_cost_jun,on_hand_change,total_cost_change,excess_change,excess_cost_change
2911,RM33334Z,Rotor Tip Seal - HP Borescope,1.0,,1.0,4528.22,Rotor Tip Seal - HP Borescope,1.0,,0.0,0.0,0.0,0.0,-1.0,-4528.22
2929,RM13094/1,"Shim, Stage 6 Stator Blade",142.0,,19.0,84.17,,,,,,-142.0,0.0,-19.0,-84.17
2931,RM13096/1,"Shim,Stage 10 Stator & EGV",556.0,,123.0,694.144719,"Shim,Stage 10 Stator & EGV",512.0,,35.0,169.498455,-44.0,0.0,-88.0,-524.646264
2938,RM34047/2,Cap Screw,59.0,,20.0,334.5017,Cap Screw,51.0,,12.0,203.157648,-8.0,0.0,-8.0,-131.34405200000003
2940,RM31082A/2,Sealing Strip,675.0,,200.0,1460.0,Sealing Strip,620.0,,29.0,211.7,-55.0,0.0,-171.0,-1248.3
2944,252408080,Thread Insert - M8 x 8mm,435.0,,100.0,174.0,,,,,,-435.0,0.0,-100.0,-174.0
2954,RM11281,Stage 1 Compressor Rotor Blade,31.0,,14.0,3161.36709,Stage 1 Compressor Rotor Blade,31.0,,0.0,0.0,0.0,0.0,-14.0,-3161.36709
2966,RM33313Z/01,BORESCOPE PLUG LP (DOWNSTREAM),20.0,,10.0,6205.0,BORESCOPE PLUG LP (DOWNSTREAM),16.0,,2.0,1241.0,-4.0,0.0,-8.0,-4964.0
2967,RM33315A/01,BORESCOPE PLUG LP (DOWNSTREAM),25.0,,10.0,3121.04,BORESCOPE PLUG LP (DOWNSTREAM),21.0,,2.0,582.195238,-4.0,0.0,-8.0,-2538.8447619999997
2972,RM33312B/01,BORESCOPE PLUG HP,22.0,,10.0,4372.81818,BORESCOPE PLUG HP,18.0,,2.0,883.3,-4.0,0.0,-8.0,-3489.51818
2973,RM33313B/01,BORESCOPE PLUG LP (UPSTREAM),23.0,,8.0,2963.714784,,,,,,-23.0,0.0,-8.0,-2963.714784
2976,RM11086A/1,,,,,,STG 6 COMP ROTOR BLADE,6.0,,0.0,0.0,6.0,0.0,0.0,0.0
2977,RM11084A/1,STG 4 COMP ROTOR BLADE,18.0,,0.0,0.0,,,,,,-18.0,0.0,0.0,0.0
3163,RM11088A/1,STG 8 COMP ROTOR BLADE,8.0,,0.0,0.0,STG 8 COMP ROTOR BLADE,7.0,,0.0,0.0,-1.0,0.0,0.0,0.0
3205,RT33639A,RADIAL PIN,19.0,,17.0,1066.58,,,,,,-19.0,0.0,-17.0,-1066.58
3209,64/04001041/8,HIGH PRESSURE FILTER,2.0,,2.0,1043.42,,,,,,-2.0,0.0,-2.0,-1043.42
3222,346321050,,,,,,GASKET - 2 IN NPS CL150,20.0,,2.0,8.32,20.0,0.0,2.0,8.32
3232,5199560,FIRE PUMP KIT,1.0,,1.0,208.33,,,,,,-1.0,0.0,-1.0,-208.33
3236,RM21034F,FLAME TUBE WITH IGNITOR PORT,2.0,,0.0,0.0,,,,,,-2.0,0.0,0.0,0.0
3255,RT54000A/02,BLOW OFF VALVE ASSEMBLY,7.0,,0.0,0.0,BLOW OFF VALVE ASSEMBLY,5.0,,0.0,0.0,-2.0,0.0,0.0,0.0
3270,RM22304/01,RM DLE DUAL MAIN FUEL BURNER,16.0,,16.0,38892.2696,RM DLE DUAL MAIN FUEL BURNER,8.0,,8.0,0.08,-8.0,0.0,-8.0,-38892.1896
3271,RM22326C/01,SGT-100 DLE PILOT BURNER,8.0,,8.0,22400.08,,,,,,-8.0,0.0,-8.0,-22400.08
3291,500706,SETSCREW 1/4 IN UNF X 7/8 IN,422.0,,261.0,83.52,SETSCREW 1/4 IN UNF X 7/8 IN,352.0,,121.0,38.72,-70.0,0.0,-140.0,-44.8
3300,RM21023P,FLAME TUBE ASSEMBLY - DLE,26.0,,0.0,0.0,FLAME TUBE ASSEMBLY - DLE,20.0,,0.0,0.0,-6.0,0.0,0.0,0.0
3304,RT04521,GAS FUEL PIPE UPPER,7.0,,5.0,125.0,GAS FUEL PIPE UPPER,7.0,,4.0,100.0,0.0,0.0,-1.0,-25.0
3360,TB14076C,JOINT,28.0,,1.0,36.572857,,,,,,-28.0,0.0,-1.0,-36.572857
3361,H245305A,TB5 END SEAL STRIP,92.0,,84.0,993.026076,TB5 END SEAL STRIP,91.0,,82.0,957.057178,-1.0,0.0,-2.0,-35.96889799999997
3389,H245257A,Sealing Strip,20.0,,20.0,199.4,,,,,,-20.0,0.0,-20.0,-199.4
3396,E1B101185219,Sqaure Joint 2 IN ID,54.0,,11.0,191.4,Sqaure Joint 2 IN ID,52.0,,1.0,17.4,-2.0,0.0,-10.0,-174.0
3405,F245338A,"STUD, 1/4 INS X 1.3/8 INS",155.0,,114.0,216.6,"STUD, 1/4 INS X 1.3/8 INS",153.0,,110.0,209.0,-2.0,0.0,-4.0,-7.599999999999994
3416,F245640A-1,TB Burner Copper Washer 0.100 Thick,79.0,,55.0,133.1,TB Burner Copper Washer 0.100 Thick,77.0,,51.0,123.42,-2.0,0.0,-4.0,-9.679999999999993
3420,H245584A/3,TB5 COMPRESSOR 15 THOU SHIM,1344.0,,238.0,470.021678,TB5 COMPRESSOR 15 THOU SHIM,1234.0,,18.0,35.571726,-110.0,0.0,-220.0,-434.449952
3434,F245788A,STUD - 5/8 INS X 2.5 INS LG,98.0,,92.0,805.0,STUD - 5/8 INS X 2.5 INS LG,86.0,,44.0,385.0,-12.0,0.0,-48.0,-420.0
3448,D245492A,CT1 STATOR BLADE SEALING STRIP,653.0,,1.0,1.99,,,,,,-653.0,0.0,-1.0,-1.99
3457,H146018B,,,,,,,,72756.5,,,0.0,72756.5,0.0,0.0
3461,H245426A,RETAINER BLOCK,134.0,,92.0,1459.161216,RETAINER BLOCK,133.0,,90.0,1429.40979,-1.0,0.0,-2.0,-29.751426000000038
3465,64/51009011/2,RT IGNITER ASSEMBLY,8.0,,8.0,14095.68,,,,,,-8.0,0.0,-8.0,-14095.68
3467,F245704A,AKZ 1.5 End Plate,92.0,,70.0,28.42,AKZ 1.5 End Plate,70.0,,26.0,10.556,-22.0,0.0,-44.0,-17.864000000000004
3475,RT22219H,"Gasket,Supergraph Lam EQUIV",3.0,,3.0,0.03,,,,,,-3.0,0.0,-3.0,-0.03
3489,F245302A,LOCKING WASHER RT PT IN BRKT,59.0,,53.0,263.499835,LOCKING WASHER RT PT IN BRKT,52.0,,35.0,169.4,-7.0,0.0,-18.0,-94.09983500000001
3496,F245408A,DOWEL,76.0,,52.0,924.368432,DOWEL,76.0,,46.0,817.710536,0.0,0.0,-6.0,-106.65789599999994
3514,F245509A,"DOWEL, 14MM x 35MM O/S",106.0,,47.0,328.157525,"DOWEL, 14MM x 35MM O/S",105.0,,43.0,300.520851,-1.0,0.0,-4.0,-27.636674000000028
3526,RT13383B/4,RT VGV 4 UPRATE,44.0,,15.0,801.109095,RT VGV 4 UPRATE,44.0,,0.0,0.0,0.0,0.0,-15.0,-801.109095
3562,RT33641/6,SEAL STRIP RT PT STATOR,37.0,,32.0,537.92,SEAL STRIP RT PT STATOR,38.0,,35.0,588.35,1.0,0.0,3.0,50.430000000000064
3576,H245321A,SHIM - 0.5MM,345.0,,286.0,1018.11853,SHIM - 0.5MM,343.0,,282.0,1006.000032,-2.0,0.0,-4.0,-12.118497999999931
3580,H245308A,SHIM - 0.5 MM,323.0,,272.0,692.783184,SHIM - 0.5 MM,317.0,,254.0,648.797788,-6.0,0.0,-18.0,-43.98539600000004
3585,H245313A,RT LP BRIDGE SHIM,276.0,,227.0,483.51,RT LP BRIDGE SHIM,376.0,,327.0,1030.467579,100.0,0.0,100.0,546.9575789999999
3587,H245403A,,,,,,RETAINING PLATE (SET OF 6),36.0,,4.0,255.386668,36.0,0.0,4.0,255.386668
3589,H245310A,SHIM - 0.15 MM,283.0,,192.0,412.928832,SHIM - 0.15 MM,277.0,,178.0,383.091956,-6.0,0.0,-14.0,-29.836876000000018
3590,H245320A,SHIM - 0.15 MM,314.0,,182.0,749.283626,SHIM - 0.15 MM,314.0,,180.0,741.04974,0.0,0.0,-2.0,-8.233885999999984
3629,E1B100651388,GASKET,96.0,,84.0,1159.2,GASKET,94.0,,74.0,1021.2,-2.0,0.0,-10.0,-138.0
3644,E1B101364851,,,,,,Thermocouple,1.0,,1.0,0.0,1.0,0.0,1.0,0.0
3677,H247085A,MAIN GAS BURNER PIPE CLAMPS,104.0,,44.0,121.846164,MAIN GAS BURNER PIPE CLAMPS,96.0,,28.0,79.333324,-8.0,0.0,-16.0,-42.51284
3678,H247086A,PILOT GAS BURNER PIPE CLAMPS,63.0,,2.0,6.539682,,,,,,-63.0,0.0,-2.0,-6.539682
3682,RM33120/01,Inner Carrier Assy HP Nozzle,4.0,,1.0,19211.09,,,,,,-4.0,0.0,-1.0,-19211.09
3702,367452112,ROD END,2.0,,2.0,0.0,,,,,,-2.0,0.0,-2.0,0.0
3713,L247090A,Masking Tape 50mm x 50M long,9.0,,4.0,10.44,Masking Tape 50mm x 50M long,9.0,,3.0,7.83,0.0,0.0,-1.0,-2.6099999999999994
3757,F245642A,"DOWEL, TAPERED GUIDE 1 X 2 3/4",109.0,,57.0,459.906324,"DOWEL, TAPERED GUIDE 1 X 2 3/4",107.0,,53.0,420.93395,-2.0,0.0,-4.0,-38.972374
3766,L245484A,ANTI SEIZE PASTE 200G,22.0,,19.0,614.468645,ANTI SEIZE PASTE 200G,21.0,,14.0,451.740002,-1.0,0.0,-5.0,-162.72864300000003
3801,F245504A,"STUD, 1/4 INS X 1/2 IN",83.0,,29.0,73.08,"STUD, 1/4 INS X 1/2 IN",77.0,,17.0,42.84,-6.0,0.0,-12.0,-30.239999999999995
3803,F245468A,SETSCREW 3/8 IN UNF X 3/4 IN,272.0,,244.0,69.97066,SETSCREW 3/8 IN UNF X 3/4 IN,270.0,,240.0,68.88888,-2.0,0.0,-4.0,-1.0817799999999949
3808,F245480A,,,,,,"BOLT, 3/8 INS UNF X 1.3/8 INS",58.0,,20.0,64.2,58.0,0.0,20.0,64.2
3813,F245617A,STUD 2BA x 5/8,54.0,,3.0,10.782222,,,,,,-54.0,0.0,-3.0,-10.782222
3817,F245546A,NICKEL PLATED STUD -M12 x 35MM,184.0,,152.0,583.05224,NICKEL PLATED STUD -M12 x 35MM,160.0,,80.0,308.5,-24.0,0.0,-72.0,-274.55224
3830,F245500A,,,,,,"WASHER, COPPER 1/4 INS BSP",505.0,,329.0,213.85,505.0,0.0,329.0,213.85
3838,B247073A,Needle Roller Bearing,25.0,,2.0,9.876,,,,,,-25.0,0.0,-2.0,-9.876
3848,E247226A-3,Thermocouple,36.0,,21.0,1993.95,,,,,,-36.0,0.0,-21.0,-1993.95
3850,J247058A,Pressure Sensor incl' Cable,1.0,,1.0,1574.15,,,,,,-1.0,0.0,-1.0,-1574.15
3892,F245357A,FLAT WASHER - 1/4,439.0,,127.0,3.882263,FLAT WASHER - 1/4,385.0,,19.0,0.555693,-54.0,0.0,-108.0,-3.3265700000000002
3950,L247083A,Loctite 574 Multi Gasket(50ml),13.0,,12.0,328.92,,,,,,-13.0,0.0,-12.0,-328.92
3975,F245337A,Heli Nut - M20,464.0,,328.0,1295.6,Heli Nut - M20,440.0,,280.0,1106.0,-24.0,0.0,-48.0,-189.5999999999999
3982,F245449A,C/SUNK SCREW - 1/4 UNF X 5/8Lg,196.0,,189.0,28.35,C/SUNK SCREW - 1/4 UNF X 5/8Lg,192.0,,178.0,26.7,-4.0,0.0,-11.0,-1.6500000000000021
3987,64/07010024/41,STRAIGHT CONNECTOR 3/8x20MM,2.0,,2.0,37.76,,,,,,-2.0,0.0,-2.0,-37.76
4068,RM22130B/01,SGT-100 DLE PILOT BURNER,8.0,,8.0,3240.08,SGT-100 DLE PILOT BURNER,8.0,70.0,8.0,3240.08,0.0,70.0,0.0,0.0
4071,RT22212G,SGT-200 DUAL FUEL BURNER,16.0,,8.0,0.08,SGT-200 DUAL FUEL BURNER,16.0,,0.0,0.0,0.0,0.0,-8.0,-0.08
4075,RT22100E/01,SGT-200 GAS BURNER,6.0,,0.0,0.0,,,,,,-6.0,0.0,0.0,0.0
4077,SS-1210-2-12,ELBOW 3/4* TUBE TO 3/4* NPT,2.0,,2.0,72.18,,,,,,-2.0,0.0,-2.0,-72.18
4110,64/51009008/2,IGNITER HEAD / CABLE ASSY,4.0,,3.0,14648.0925,,,,,,-4.0,0.0,-3.0,-14648.0925
4112,RM33336A,STRIP SEALING - HP TIP SEAL,84.0,,80.0,2075.2,STRIP SEALING - HP TIP SEAL,72.0,,56.0,1452.64,-12.0,0.0,-24.0,-622.5599999999997
4124,115412070,NICKEL PLATED BOLT - M12x70MM,7.0,,7.0,0.07,NICKEL PLATED BOLT - M12x70MM,5.0,,3.0,0.03,-2.0,0.0,-4.0,-0.04000000000000001
4125,RM23106,,,,,,IGNITER BODY,3.0,,2.0,1905.753334,3.0,0.0,2.0,1905.753334
4135,RM83031E,FLEXIBLE JOINT - AXIAL EXHAUST,1.0,,1.0,5631.6,,,,,,-1.0,0.0,-1.0,-5631.6
4141,RM11089C/1,STAGE 9 BLADE,63.0,,13.0,7514.369369,STAGE 9 BLADE,50.0,,0.0,0.0,-13.0,0.0,-13.0,-7514.369369
4154,RM31383A/3,LOCKING STRIP,142.0,,73.0,2711.95,LOCKING STRIP,137.0,,63.0,2340.45,-5.0,0.0,-10.0,-371.5
4163,RM33366A,SEAL STIP OUTER - LP NOZZLE,107.0,,44.0,2549.8,,,,,,-107.0,0.0,-44.0,-2549.8
4166,RM12012,FITTING BOLT,12.0,,11.0,871.97,FITTING BOLT,13.0,,13.0,1032.59,1.0,0.0,2.0,160.6199999999999
4176,RM35612,SPECIAL STUD,32.0,,5.0,214.35,,,,,,-32.0,0.0,-5.0,-214.35
4182,64/04001038/1,LAST CHANCE FILTER,6.0,,2.0,2876.96,,,,,,-6.0,0.0,-2.0,-2876.96
4195,RT33066A,SEAL STRIP,304.0,,37.0,634.958961,,,,,,-304.0,0.0,-37.0,-634.958961
4196,RT11013D,COMPRESSOR TENSION BOLT,1.0,,0.0,0.0,,,17695.26,,,-1.0,17695.26,0.0,0.0
4200,RM33367A,SEAL STRIP OUT - LP NOZZLE,116.0,,24.0,339.84,,,,,,-116.0,0.0,-24.0,-339.84
4207,RM13093/1,,,,,,STATOR BLADE SHIM - STAGE 4,323.0,,128.0,330.8384,323.0,0.0,128.0,330.8384
4214,RT33641A/3,SEAL STRIP PT STAT,222.0,,222.0,1745.459904,SEAL STRIP PT STAT,215.0,,215.0,1690.99994,-7.0,0.0,-7.0,-54.45996400000013
4215,RT33641A/1,SEAL STRIP PT STAT,194.0,,175.0,1242.06705,SEAL STRIP PT STAT,231.0,,231.0,1644.060033,37.0,0.0,56.0,401.99298299999987
4217,RT33641A/5,SEAL STRIP PT STAT,41.0,,19.0,118.18,SEAL STRIP PT STAT,38.0,,13.0,80.86,-3.0,0.0,-6.0,-37.32000000000001
4228,RT34028C,COVER BLOW-OFF VALVE APERTURE,2.0,,0.0,0.0,,,,,,-2.0,0.0,0.0,0.0
4235,RU33024A,LOCATION  DOWEL,23.0,,5.0,218.0,,,,,,-23.0,0.0,-5.0,-218.0
4236,RT33072A,SEAL STRIP,170.0,,2.0,33.2,,,,,,-170.0,0.0,-2.0,-33.2
4244,TB14115A,,,,,,JOINT,30.0,,2.0,66.74,30.0,0.0,2.0,66.74
4251,RT33073B/4,,,,,,SEAL STRIP,61.0,,5.0,0.05,61.0,0.0,5.0,0.05
4275,346321030,GASKET - 1.1/4 NPS CL150,12.0,,3.0,15.714999,,,,,,-12.0,0.0,-3.0,-15.714999
4294,64/07211009/4,CABLE GLAND - M20,40.0,,30.0,666.6,CABLE GLAND - M20,38.0,,26.0,577.72,-2.0,0.0,-4.0,-88.88
4295,151510055,CAPSCREW - M10 x 55MM,9.0,,9.0,9.9,,,,,,-9.0,0.0,-9.0,-9.9
4309,M08/33074,SEAL RETAINING CLIP,67.0,,32.0,1438.299712,SEAL RETAINING CLIP,55.0,,8.0,398.370912,-12.0,0.0,-24.0,-1039.9288000000001
4314,157106006,NICKEL PLATED GRUBSCREW M6x6MM,85.0,,12.0,5.76,,,,,,-85.0,0.0,-12.0,-5.76
4340,CT190D/6,TAPPED DOWEL 10MM NOMx30.5,125.0,,27.0,1715.58,,,,,,-125.0,0.0,-27.0,-1715.58
4345,A147473A,Battery 3.6V 150mAh,1.0,,1.0,5.96,,,,,,-1.0,0.0,-1.0,-5.96
4353,CT92469B/01,FREQUENCY INPUT MODULE,1.0,,1.0,0.01,,,,,,-1.0,0.0,-1.0,-0.01
4368,RT13381B,,,,,,COMPRESSOR STATOR BLADE STG 1,4.0,,4.0,3239.544,4.0,0.0,4.0,3239.544
4375,RT07011D,FLEXIBLE COUPLING,4.0,,2.0,4839.06,,,,,,-4.0,0.0,-2.0,-4839.06
4379,192406030,NICKEL PLATED STUD - M6 x 30MM,2.0,,2.0,0.0,,,,,,-2.0,0.0,-2.0,0.0
4380,041318,STUDBOLT 5/8 UNC x 3.1/2,32.0,,32.0,0.0,,,,,,-32.0,0.0,-32.0,0.0
4383,64/09001204/4,CONTROLNET REDUNDANT ADAPTER,3.0,,3.0,9259.53,,,,,,-3.0,0.0,-3.0,-9259.53
4389,H146006A,,,,,,,,33312.18,,,0.0,33312.18,0.0,0.0
4391,BORESCOPE HIRE,,,,,,,,11.43,,,0.0,11.43,0.0,0.0
4393,LT850412,,,,,,,,346695.4500000001,,,0.0,346695.4500000001,0.0,0.0
4394,LT850423,,,,,,,,140514.01,,,0.0,140514.01,0.0,0.0
4395,LT851047,,,,,,,,75639.62,,,0.0,75639.62,0.0,0.0
4396,LT850672,,,,,,,,712662.9999999999,,,0.0,712662.9999999999,0.0,0.0
4397,July COGS,,,,,,,,1275512.08,,,0.0,1275512.08,0.0,0.0
4398,LT849240,,,,,,,,205881.21,,,0.0,205881.21,0.0,0.0
4399,LT849251,,,,,,,,60715.64,,,0.0,60715.64,0.0,0.0
4400,August COGS,,,,,,,,266596.85,,,0.0,266596.85,0.0,0.0
4401,LT850257,,,,,,,,782389.7899999999,,,0.0,782389.7899999999,0.0,0.0
4403,LT851077,,,,,,,,650242.13,,,0.0,650242.13,0.0,0.0
4404,LT848768,,,,,,,,2093978.03,,,0.0,2093978.03,0.0,0.0
4405,LT851046,,,,,,,,484636.69,,,0.0,484636.69,0.0,0.0
4406,September COGS,,,,,,,,4011246.64,,,0.0,4011246.64,0.0,0.0
4410,022716,,,,,,SETSCREW - 3/8 UNF X 1.1/4,200.0,,65.0,73.45,200.0,0.0,65.0,73.45
4412,RM33026F,,,,,,TRANSITION DUCT,14.0,,8.0,5714.262856,14.0,0.0,8.0,5714.262856
4416,64/05011021/6,,,,,,FLEXMASTER - 3 INCH,15.0,,7.0,3972.71,15.0,0.0,7.0,3972.71
4420,H245323A,,,,,,"SHIM, BLADE 0.010 INS",1000.0,,400.0,878.0,1000.0,0.0,400.0,878.0
4421,E1B101171080,,,,,,Joint,20.0,,20.0,0.0,20.0,0.0,20.0,0.0
4424,RT31310B/809,,,,,,RT CT1 UPRATE BLADE SET,1.0,,1.0,0.0,1.0,0.0,1.0,0.0
4426,J245813A,,,,,,Filter,1.0,,1.0,0.0,1.0,0.0,1.0,0.0
4434,211166008,,,,,,ZINC PLATED NUT - M8,16.0,,16.0,16.48,16.0,0.0,16.0,16.48
